,sample,Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf]
0,Ref before,2.51E-04,2.35E-04,2.35E-04,2.34E-04
1,Ref before,2.14E-04,2.14E-04,2.14E-04,2.14E-04
2,Ref before,7.22E-05,7.22E-05,7.22E-05,7.22E-05
3,Ref before,1.51E-06,1.74E-06,1.74E-06,1.74E-06
4,Ref after,1.35E-02,1.17E-02,1.35E-02,1.45E-02
5,Ref after,7.71E-03,7.72E-03,8.27E-03,7.71E-03
6,Ref after,3.43E-03,3.89E-03,3.89E-03,3.32E-03
7,Ref after,2.19E-03,2.78E-03,2.33E-03,2.58E-03
8,Ref after,2.52E-03,2.52E-03,2.25E-03,2.71E-03
9,Ref after,2.33E-03,2.16E-03,2.16E-03,2.15E-03
10,Ref after,9.66E-04,9.40E-04,1.05E-03,9.65E-04
11,Ref after,8.89E-04,7.66E-04,8.89E-04,7.52E-04
12,Ref after,5.22E-04,6.05E-04,5.92E-04,6.65E-04
13,A-1 before,7.02E-05,7.03E-05,6.04E-05,6.87E-05
14,A-1 before,3.34E-04,3.11E-04,3.11E-04,3.11E-04
15,A-1 before,1.73E-04,1.73E-04,1.73E-04,1.73E-04
16,A-1 before,1.36E-04,1.34E-04,1.36E-04,1.36E-04
17,A-1 before,2.97E-05,2.97E-05,2.96E-05,2.97E-05
18,A-1 before,2.10E-06,2.06E-06,2.28E-06,2.28E-06
19,A-1 before,1.89E-05,2.06E-05,1.89E-05,1.89E-05
20,A-1 after,6.72E-04,6.72E-04,7.21E-04,6.72E-04
21,A-1 after,5.50E-04,4.76E-04,5.36E-04,4.67E-04
22,A-1 after,4.18E-04,4.18E-04,4.18E-04,4.18E-04
23,A-1 after,4.99E-04,4.99E-04,4.99E-04,4.99E-04
24,A-1 after,4.84E-04,4.48E-04,4.48E-04,4.48E-04
25,A-1 after,2.40E-04,2.40E-04,2.40E-04,2.40E-04
26,A-1 after,3.24E-04,3.54E-04,3.18E-04,3.18E-04
27,A-1 after,3.04E-04,3.52E-04,3.52E-04,3.17E-04
28,A-1 after,2.72E-04,2.72E-04,2.72E-04,2.72E-04
29,A-2 before,1.16E-04,1.24E-04,1.16E-04,1.13E-04
30,A-2 before,5.09E-05,5.09E-05,5.09E-05,5.09E-05
31,A-2 before,4.53E-05,4.53E-05,4.52E-05,4.53E-05
32,A-2 before,5.04E-05,5.04E-05,4.93E-05,5.04E-05
33,A-2 before,3.69E-05,3.99E-05,3.69E-05,3.69E-05
34,A-2 before,3.05E-05,3.05E-05,3.05E-05,3.30E-05
35,A-2 before,8.18E-06,8.32E-06,9.48E-06,1.57E-05
36,A-2 before,1.48E-05,1.48E-05,1.63E-05,1.48E-05
37,A-2 after,1.25E-03,1.25E-03,1.16E-03,1.25E-03
38,A-2 after,4.00E-04,4.00E-04,3.88E-04,4.00E-04
39,A-2 after,1.11E-04,1.11E-04,1.11E-04,9.49E-05
40,A-2 after,7.14E-05,7.11E-05,8.27E-05,8.28E-05
41,A-2 after,2.35E-05,2.35E-05,1.88E-05,2.19E-05
42,A-2 after,6.69E-05,6.69E-05,6.69E-05,6.69E-05
43,A-2 after,3.44E-05,3.44E-05,3.01E-05,3.44E-05
44,A-2 after,7.73E-06,6.66E-06,7.73E-06,7.59E-06
45,B-1 before,4.01E-03,4.01E-03,4.01E-03,4.01E-03
46,B-1 before,2.18E-03,2.18E-03,1.97E-03,1.96E-03
47,B-1 before,4.13E-03,3.85E-03,3.85E-03,3.85E-03
48,B-1 before,2.38E-03,2.38E-03,2.38E-03,2.38E-03
49,B-1 before,1.23E-03,1.26E-03,1.09E-03,1.18E-03
50,B-1 before,2.08E-03,2.07E-03,2.08E-03,2.08E-03
51,B-1 before,2.00E-03,1.81E-03,1.81E-03,1.85E-03
52,B-1 before,6.59E-04,6.58E-04,6.59E-04,7.18E-04
53,B-1 after,5.65E-03,6.50E-03,5.64E-03,6.51E-03
54,B-1 after,7.16E-03,6.68E-03,6.67E-03,5.78E-03
55,B-1 after,4.63E-03,4.63E-03,4.98E-03,4.64E-03
56,B-1 after,2.89E-03,3.24E-03,3.25E-03,3.24E-03
57,B-1 after,2.75E-03,2.67E-03,2.96E-03,2.75E-03
58,B-1 after,1.81E-03,1.81E-03,1.81E-03,1.81E-03
59,B-1 after,8.55E-04,1.07E-03,9.89E-04,1.07E-03
60,B-1 after,6.09E-04,6.09E-04,6.09E-04,5.95E-04
61,B-2 before,1.02E-02,1.02E-02,1.02E-02,1.02E-02
62,B-2 before,8.25E-03,8.61E-03,9.57E-03,8.24E-03
63,B-2 before,7.16E-03,6.30E-03,7.69E-03,7.69E-03
64,B-2 before,3.87E-03,4.41E-03,4.40E-03,4.41E-03
65,B-2 before,3.93E-03,3.93E-03,4.23E-03,3.93E-03
66,B-2 before,4.92E-03,5.31E-03,4.92E-03,4.92E-03
67,B-2 before,3.44E-03,2.98E-03,3.36E-03,3.73E-03
68,B-2 before,3.66E-03,3.66E-03,3.66E-03,3.66E-03
69,B-2 before,1.04E-03,1.04E-03,1.04E-03,1.04E-03
70,B-2 before,9.95E-04,1.10E-03,9.75E-04,9.75E-04
71,B-2 after,2.96E-03,3.17E-03,2.96E-03,2.94E-03
72,B-2 after,4.12E-03,4.11E-03,4.11E-03,4.11E-03
73,B-2 after,4.33E-03,4.33E-03,5.35E-03,4.98E-03
74,B-2 after,5.04E-03,5.04E-03,5.03E-03,5.03E-03
75,B-2 after,4.01E-03,3.90E-03,4.00E-03,3.90E-03
76,B-2 after,3.81E-03,4.11E-03,3.29E-03,3.80E-03
77,B-2 after,2.64E-03,2.24E-03,2.64E-03,2.87E-03
78,B-2 after,2.01E-03,2.20E-03,2.01E-03,2.01E-03
79,B-2 after,1.71E-03,1.68E-03,1.71E-03,1.71E-03
80,B-2 after,9.17E-04,1.02E-03,9.16E-04,9.17E-04
